1	6	0	<sos>	None	None	None	None	None	None	None
2	\overset	1	6	None	None	None	None	None	None	None
3	struct	2	\overset	None	below	None	sup	None	None	right
4	1	3	sup	None	None	None	None	None	None	None
5	<eos>	4	1	None	None	None	None	None	None	None
6	7	3	below	None	None	None	None	None	None	None
7	<eos>	6	7	None	None	None	None	None	None	None
8	\overset	3	right	None	None	None	None	None	None	None
9	struct	8	\overset	None	below	None	sup	None	None	right
10	1	9	sup	None	None	None	None	None	None	None
11	<eos>	10	1	None	None	None	None	None	None	None
12	0	9	below	None	None	None	None	None	None	None
13	<eos>	12	0	None	None	None	None	None	None	None
14	-	9	right	None	None	None	None	None	None	None
15	\overset	14	-	None	None	None	None	None	None	None
16	struct	15	\overset	None	below	None	sup	None	None	right
17	1	16	sup	None	None	None	None	None	None	None
18	<eos>	17	1	None	None	None	None	None	None	None
19	1	16	below	None	None	None	None	None	None	None
20	<eos>	19	1	None	None	None	None	None	None	None
21	\overset	16	right	None	None	None	None	None	None	None
22	struct	21	\overset	None	below	None	sup	None	None	right
23	1	22	sup	None	None	None	None	None	None	None
24	<eos>	23	1	None	None	None	None	None	None	None
25	9	22	below	None	None	None	None	None	None	None
26	<eos>	25	9	None	None	None	None	None	None	None
27	8	22	right	None	None	None	None	None	None	None
28	=	27	8	None	None	None	None	None	None	None
29	4	28	=	None	None	None	None	None	None	None
30	7	29	4	None	None	None	None	None	None	None
31	2	30	7	None	None	None	None	None	None	None
32	<eos>	31	2	None	None	None	None	None	None	None
